HotelBrandID,HotelBrandName
-10000,Unknown
0,Independent (unaffiliated)
5,Adam's Mark
14,Shilo Inn
15,Renaissance
17,Best Western
18,Clarion
21,Comfort Inn
28,Courtyard
29,Doral
31,Days Inn
33,Doubletree
36,Econo Lodge
38,Embassy Suites
44,Fairfield Inn
45,Regent Hotels
54,Homewood Suites
55,Hilton Hotels
56,Holiday Inn
57,Howard Johnson
65,Hyatt Hotels
66,Inter-Continental
75,Kempinski Hotels & Resorts
80,La Quinta Inn & Suites
81,Movenpick Hotels & Resorts
85,Loews
86,Marriott Hotels & Resorts
87,Le Meridien
91,Mandarin Oriental Hotel Group
94,Nikko
98,Okura Hotels & Resorts
100,Omni
102,Outrigger
105,Pan Pacific Hotels & Resorts
106,Preferred
111,Quality
113,Ramada
114,Residence Inn
115,Radisson
117,Red Roof Inn
119,Rodeway Inn
120,Red Lion
126,Ritz-Carlton
129,Shangri-La Hotels and Resorts
130,Sheraton Hotel
131,Signature Inn
132,Swissotel
141,Sleep Inn
143,Travelodge
152,Westin
157,Wyndham Hotels
159,Delta Hotels
201,ResortQuest
202,Camino Real
206,Country Inn & Suites
209,Fairmont
210,Fiesta Americana Hotels & Resorts
213,Golden Tulip
217,Harvey Hotel
219,Hawthorn Suites
224,Jumer Hotels
225,Kimpton Hotels
227,Manhattan East Suites
228,Maritim Hotels
233,Oberoi Hotels & Resorts
235,Park Inn
236,Park Plaza
238,Regal Hotels International
239,Regency Hotels
241,Romantik Hotel
244,Sonesta Hotel
251,Susse Chalets
252,Treff Hotels
253,Walt Disney Parks & Resorts
255,Westmark
256,Crowne Plaza
258,AmeriSuites
263,Millennium Hotels
265,RIHGA Royal Hotels
270,Wingate Inn
271,Wellesley Inn
272,Sofitel
286,Flag Hotels
288,Holiday Inn Express Hotel
298,Thistle Hotels
300,Novotel
309,Four Points
315,Ana Hotels International
320,Luxury Collection
321,Sheraton Inn
323,Marco Polo Hotel Group
339,Ian Schrager Hotels
341,Drury Inn
343,Knights Inn
344,MainStay Suites
345,New Otani Hotels The
347,Sol Melia
349,Astron Hotels & Resorts
351,Americinn
353,Caesar Park Hotels & Resorts
358,Hampton Inn
359,WestCoast
360,Sutton Place Hotels
369,Starwood Villa Rentals
372,Scandic Hotels
421,Baymont Inns & Suites
433,Candlewood Hotel
473,Crossland Suites
492,Hotel Des Gouverneurs
497,Guesthouse Inns
498,Caesars Entertainment
539,Jurys Hotels
560,Microtel Inn
588,Prince Hotels
611,Gresham Hotels
645,Swallow Hotels
651,Tokyu Hotels
653,TownePlace Suites
659,Vagabond Inn
664,Villager Lodge
681,Homestead
702,SpringHill Suites
706,W Hotels
715,Comfort Suites
719,Dan Hotels
724,ClubHouse
728,AmeriHost
731,Staybridge Suites
733,Super 8
734,"Taj Hotels, Resorts & Palaces"
736,Sierra Suites
739,Raffles Intl Hotels and Resorts
740,Stamford Hotels & Resorts
2000,Suburban Lodge
2001,Executive Hotels & Resorts
2002,Hard Rock Hotels
2003,Luxor Hotel
2004,Mandalay Bay Resort & Casino
2005,Monte Carlo Resort & Casino
2006,Studio 6
2007,Universal Orlando Resort
2008,Arcotel
2009,America's Best Inns
2010,Country Hearth Inn
2011,Cross Country Inn
2012,Devere Hotels
2013,Executive Inn Suites
2014,Flair 
2015,Furama
2016,Husa 
2017,Inns of America
2018,Jolly Hotels
2019,Lees Inn Of America
2020,Masters Inn
2021,Motel 6
2022,NH Hotels
2023,Norlandia
2024,Oakwood
2025,The Peninsula Group
2026,Phoenix Inn
2027,Red Carpet Inn
2028,Rema Hotels
2029,Rica Hotels
2030,Rydges
2031,Sandals Resorts
2033,Shoney's Inn
2034,Silver Cloud
2035,Sokos
2036,Steigenberger
2037,TimHotels
2038,Tryp Hotels by Melia
2039,Una Hotels
2040,Caribbean Hotel Association (CHA) member WWTE
2041,Castle Resorts WWTE 
2042,Wyndham WWTE
2043,Woodfin Suites
2044,Starwood WWTE 
2045,St Regis
2046,Coast Hotels
2047,Mauna Lani Bay WWTE
2048,Fiesta Americana Vacations WWTE
2049,Barcelo
2050,marriottvacationclub
2051,Kingsgate
2052,Beaches
2053,Hotels.com - WWTE
2054,Marc Resorts WWTE
2055,Six Continents InterContinental Hotels (IHG) PMI
2056,Gold Nugget Hotels WWTE
2057,Pueblo Bonito Hotels & Resorts WWTE
2058,Choice Hotels - PMI
2059,Hilton Garden Inn
2060,Marriott - PMI
2061,Las Brisas WWTE
2062,Thistle Hotels WWTE
2063,Copamarina WWTE
2064,Wyndham Worldwide Corporation (Cendant) PMI
2065,Hoteles Solaris WWTE
2066,Amsterdam Manor Beach Resort WWTE
2067,Quintus Resorts WWTE
2068,Oceans Resorts
2069,Eldorado Hotel and Casino WWTE
2070,Alamo City Hotels WWTE
2071,Magnolia Hotels
2072,Historic Hotels WWTE
2073,Accor Hotels
2074,Extended Stay America
2075,WWTE West Coast Hospitality Association
2076,Caribe Royale WWTE
2077,The Angelus Resort & Spa WWTE
2078,Hawthorn Suites Riverwalk WWTE
2079,Hotel Lawrence WWTE
2080,Iberville Suites WWTE
2081,Lancaster Hotel WWTE
2082,MVC Eagle Beach WWTE
2083,Stoneleigh Hotel WWTE
2084,Joie De Vivre 
2085,WWTE Amsterdam Hospitality
2086,Classic Resorts WWTE
2087,International House WWTE
2088,Best Value Inns
2089,KSL Resorts
2090,Destination Hotels
2091,Ishin Hotels WWTE
2092,Hotel Fira. WWTE
2093,Marriott PMI 2-Courtyard Fairfield Residence Springhill Towneplace
2094,WWTE Wynn
2095,Noble House
2096,Hilton International - PMI
2097,Grand Rios-WWTE
2098,Ocean Resort-WWTE
2099,Queen Kapiolani-WWTE
2100,Destination Resorts Maui - WWTE
2101,MGM - WWTE
2102,MGM
2103,Walt Disney World Resort
2104,Disneyland Resort Paris
2105,Disneyland Resort
2106,Tokyo Disney Resort
2107,Hong Kong Disneyland
2108,Summerfield Suites
2109,Woodfield Suites
2110,Howard Johnson Express
2111,La Quinta Inns
2114,Wellesley Inn & Suites
2117,Holiday Inn Select
2118,Drury Inn & Suites
2119,Drury Lodge
2120,Drury Plaza Hotel
2121,Drury Suites
2122,Caesars
2123,Extended Stay Deluxe
2124,Pear Tree Inn
2125,Budget Host
2126,Chase Suites
2127,Aston Hotels
2128,Sunspree Resorts
2130,Four Seasons
2131,Gaylord Entertainment
2132,Prime Hotel
2133,Hotel Indigo
2134,Scottish Inn
2135,President Hotels WWTE
2136,BedandBreakfast.com
2137,Mercure
2138,Dorint
2139,Suite Novotel
2140,All Seasons
2141,Ibis
2142,Etap Hotel
2143,Formule 1
2144,Accor Thalassa 
2145,Accor Vancances
2146,Conrad
2149,Studio Plus
2150,Walt Disney World Resorts Other
2151,Woogo Hotels WWTE
2152,Langham Hotels - WWTE
2153,The Alex Hotel WWTE
2158,Grand Lodge WWTE
2159,Sand and Seaside WWTE
2160,Motel One
2161,Test Brand
2162,PMI Marriott East
2163,PMI Universal Studios Anaheim-Buena 
2164,Quality Suites
2165,Hawthorn Inn & Suites
2166,Koelnmesse WWTE
2167,Sandman Hotels
2168,Club Quarters
2169,Los Cabos 0906
2170,Coco Resorts WWTE
2171,Test Brand Carie
2172,JW Marriott 
2173,Marriott Executive Apartments
2174,Montpelier Inn - WWTE
2175,Condos at Coral Gardens WWTE
2176,Travel Inn WWTE
2177,South Padre Hotels - WWTE
2178,Morgans Hotel Group
2179,Bulgari Hotels & Resorts
2180,Campanile
2181,Concorde
2182,Derag Livinghotels
2183,Kyriad
2184,Groupe Barriere
2185,Pacific International
2186,Premiere Classe
2187,Radisson Blu Edwardian
2188,Top Hotels
2189,Ottley's plantation inn
